source,source_code,concept_id,seed_sha256
ciqual,1030,nfx_3WDB4WX71JD3Z1JRP7H1TBDPTK,e24abf5a5bc2b608cc501040cdbb4c5ae91ccd65d08820b8a6153ee9db654aa0
ciqual,1031,nfx_11X6XTSH3EARRW3RKXYGRW9MY8,6ee2fe6b11362e9cf67fd3d7450b484bf13924da3f81184f0ff66ed251e5547f
ciqual,1032,nfx_77R3D0Q589MCPN0WG634XRSD8P,685cddaa0d846237134ded24add3ea0facc70b99dc833fae03778efac35c5488
ciqual,1033,nfx_4H7SJE95G9WRYN9X0F3K0EDCGC,31a6d3d068712362bcc476ac0494f183e60bcb7339d4aa7c1f7ede72d9a26b52
ciqual,1034,nfx_1JNKQ6KJZZ1VTGZ8BCFB2Z4C63,634770875ff4a470c91fdba71e6833e22f5d285ac0535b84cc78b132e4b64a60
ciqual,10999,nfx_21AH7814G704B07FD3JR871HBD,2b657acbc092f5014801e13a6a49de0b2c3fd670ae56e05d1487bea74a99ef82
ciqual,11000,nfx_3DVZYVS44SDXQ4XQPFRTEEQ33A,87b30351df260c30408cba8477da9d3de537ec47fd57f8be30ec4dc7a012e94e
ciqual,11001,nfx_6Q8HRCZ76897QZXXPXEPG1Z61R,635468002234a2c644eb62c22abda4d13426d8638f2314bb20a0839957f2e4fe
ciqual,11002,nfx_4G9NGJ702Y8478NBRJ08KRV122,1ac24f47424857cab6c27fae32471af1c3490e59db4da124333f7e7cffc9b44d
ciqual,11003,nfx_7HQBVX3QS4P8VSHS1WNX7431VM,98c6a02224a7ecc7e1fdbb4740c0a11d01dc3d995146ab47cfdcb8b70c095ea6
ciqual,11004,nfx_3KPQH5ER390A207YVQ7YDDTE7Y,4e78f231de02693a76a16bb03bcb5370fff136115aa85ea3d00cb7a866453e61
ciqual,11005,nfx_0KASYEDRPKYQ5V0RXQC2CBTQXC,7ef061b64953ba07e4509fbf8cb95bb8f5d4e4ac0c4f0ed9f1a8db77b4655d6c
ciqual,11006,nfx_6G7Z0YAHH3AH3QC5WQ86E74JZM,bbd464fe9f9f4f4cca3b4ef374e43ab7098e0bda48ff55c5c11d547f7d1048da
ciqual,11007,nfx_6Y04EQF8S1DNCR60GRFQ6J5KSA,00bc2eeaee3cf1e248170210a7276ef4629b89d189ca8476b6ad55527b28cdd2
ciqual,11008,nfx_0ZFM8WNMC7CR4GJ99QXJE8SC12,a245a036105b46441124893eaa7f1176e1e047bcd644b3836a4656aae48d5d0e
ciqual,11009,nfx_0JWJSXNJ7NM6CKSW0V0AR17Q0N,d553ffff67bff64a92708358770d4f1d196afd26ed9969dae74d4e402a2531a7
ciqual,11010,nfx_574PT602YASWX32MBPC8AQMBW0,1375708617f64e49adb2760ef538665f3035950869308be5bbf82bdbc144df7b
ciqual,11013,nfx_5J8T00N3DDN4R30SDQNKAEFK7H,f3f8775e8cb86be8f13dceeca68e4b1b583f9de33dd668f2bf7a42d9d2be55ce
ciqual,11014,nfx_5BXK3A9B2GPK4MXGXYHNYAC64Y,d0c1afbe6ad1621ad087b2efe251205d4362a1954dacc1826e240fc9f7648679
ciqual,11015,nfx_5YHA0W9BCSFR91JQ91MSZYWT69,14b760598dd53e3de36f52af5378264f29e03528991d04bcdee9b8722c94a076
ciqual,11016,nfx_69EG58Q6676QSYFEYMVQGD6M1C,a24c493351ccfe6e4ef42573fa76d254a57cfc4327e24f7bf07fc9421ba026c4
ciqual,11017,nfx_71YRCZCT4JW7AZSNX9HWDWH82B,22de5f7813026641be043e4de416d8cf4a1ff17bf0699a2af3d103e2c30f2974
ciqual,11018,nfx_2XXJNNR694AXF32JCQ6T3EG0DX,8b4ad2e607d8ce3d9effdfc32eb1881fa53ad92b1cd4bbf2f98e90923b48831b
ciqual,11019,nfx_2HZ7B57W1VF8F9YAS16MD3Y2HA,a9f5f140a037b95cbc7093b2de90dc72655a75e00773da09727e427a9e941238
ciqual,11021,nfx_3A9THJ5PAZRPVH2AYGVSEABVKN,04e46e71dfdbc28a19071fbe8b01ddc381356ed5319f0cae7dc8ef5b2ba7fd4c
ciqual,11023,nfx_5JX5ZBJGHGD11NRXH11X6J13VP,12aec537cca96e2449b6cbdf83bc5cb0619a120ddeed30eb787678d5c1062e4a
ciqual,11024,nfx_6DZ9NYZXPAV5GQX2N0TG90QCJQ,3c5f2b2a73e0a19b73897937064aaa76eec5cdba57879ed9652b160e1dca1e5d
ciqual,11025,nfx_5BEY9RR8EP45ZEKB42Z8F3B2XK,3c1a4b10e969eddf0b7ff7b688844822f6bfd5c1f5d07db1ec2be66ac1b86da1
ciqual,11026,nfx_2XZVMWG6Z45NXSSW0TN1DVN5QY,9a184c8ed143755ada514ae2204b60678a7d4826c1667690d4bb018de45d038e
ciqual,11027,nfx_34M62KWA0VCF01BCT1RQM9R1FX,dd5955e3db2a10a266cc4a6a85294e8ea7749d6889fbdca73e832942638212f4
ciqual,11029,nfx_67H4GG7H4RWJ3WGD6VNZ28R2NP,4069ef4d02c28d28e4855e89523c6bb3de279ee74b59124bc4dcdba7f2ccc1e5
ciqual,11032,nfx_5PTZJAKC3VT5RYJ02MKCKWWNDQ,4d0a44865335a61e96021f983d6880a382dbc5858236aaff5f64483a4e9c5e48
ciqual,11033,nfx_2XBTSQB83ASRMHXBYK5BBJQ6P0,2d95f2ca1974a926eb0b2fe5dd909e861236623262e96aec9b2f05b7f2384bfe
ciqual,11034,nfx_7JC0YJJ4E8CGNNP9KR5TW5WJ71,3d2b9775db13e24073643668938f40cbc44f62ca1730b7e3cdf52a8203909a8e
ciqual,11035,nfx_48WDCEBAVRERDY0KRFA6BE2PVY,1d01341d0f10ea2e8850097fca3083c353fffa463a0b5344045b26cacdda59b6
ciqual,11036,nfx_553Q6VHC5SDX756Q0Q5C327YBB,ee0ef4f2b6e013f3339abea3414ddefb3bc5a076d1a91adf10f6d4602385b4c1
ciqual,11037,nfx_6WD8F9A627CMC5YNF4F8QKGEYB,37c9bb51d643eb4b4a012a5f4fc865272d6e74dd0c6974e9079019a619d50c55
ciqual,11038,nfx_0RHK4J7JATBAG9X8H8JJBSQSQ3,2f63f7b2bc44192fef002dc3cc39522ab06d969f2f2afc05fa4be61b2c7b7de3
ciqual,11039,nfx_2JHWXK7CGTXDBDW6ERD1B8N1SB,7a0c7373cce43ab9f331aa805761da03d97f51d9f7a4eddf2be78758fc5892f3
ciqual,11040,nfx_2PSTGF8Z76G0W5450GDVM4ETK7,6c24dec22f2e5c251bca2cdea112eb3f4a420209a90ad8caee77b2a41311dd71
ciqual,11041,nfx_53K69M6R1NK6ECNAFJ20Z8EHDF,d54ad93f13f4e46c976825fdae5a938311585bda4263efb24d31a841f326a3e3
ciqual,11042,nfx_5JP9PGQGMTBF0C2212S9VYPZFZ,954d42d464bf460119bbab6f7538ef4e79943b9a80b46af1ad11bd0b903e7d04
ciqual,11043,nfx_2FXFWRRME6WNZAJ3BCEK7KXVRX,b0532278ca39a9bf89ecf7bb3c65ef087683f3818dffc093e1b6f1bfd5e5382d
ciqual,11044,nfx_6V70TZVS69STCCW3YWSJWCEF3H,264d2af2b7620f4490bcf937fdb78e882d134c414ad805a8e890626b60850558
ciqual,11045,nfx_3QBCS81EBK2XHG426HCV0DZR20,e0911fb3fe3660c1f5cec948ac27eb6b5a22066c8041755678b13189503ef6fa
ciqual,11046,nfx_558NZVDQAEZ504AY0KFSN7824V,ed7c13b711824c105d0617e130aee7b5736393dce092da78e50340b672717766
ciqual,11048,nfx_7NXY44BG0TWY2PXEPA9RD9E9Q7,d3d0c74cdeb86a677d074721aac50ffe845880d675d788b2af5119cd258b1c02
ciqual,11049,nfx_1C77FG028JCR5Y4DFK77JJCG0D,233e5b0e499b40e9cc1c0c8543ff0477a4a1345c4708d610a39029f8da45abce
ciqual,11050,nfx_17264PF6P0HAEGBV5PPBH0QMK5,55667dc003d8f5293251c23c11bad30e093410eeb68a1ce030e66141add3d2bf
ciqual,11051,nfx_6FZ2RE2YGFS3752ZYJVF4ZFVVB,01f528d71c50f5a62e82ea5c21574cbb8a78737dc8b46b391c70a643165b53ef
ciqual,11052,nfx_3WW81DP4VP0KRSC4JQYHYWP95A,6b05df78279953332feca1746df6246757eb2d8e4aae993c23cbac8e05aa4882
ciqual,11053,nfx_2YZMSNMXF66DC2KZQSREF7VXMW,caffae21614296c7ac666e4bad0ccffff461ff497fb63dbd12c1b70504e4d221
ciqual,11054,nfx_1V8ZT43CWA4XGQHAXVFGE29NFR,9a0f78edc9f86a1fc60370e3e1ee59c9132f9f1f6317deb0838236bb541bf806
ciqual,11055,nfx_5TV1XWXJ8WHFR5XXPCX4APG4TQ,a77b283749bf5ef94a937b1ff915b315cc0eec9c66d21a1a636e8de79b65173b
ciqual,11056,nfx_4JF3GTG8K96CAR20GX38W0DPHA,64d555048e84bdc1258fe272603654488bfc2e4b4c6c19e8de0a479563bb30a4
ciqual,11057,nfx_421ZRGFGQRFNSGJRGXQH0QME9Z,04b25e5430d24eb469ed27d3224c4f7d5bffd793357a350e352822ff64a19dae
ciqual,11058,nfx_7TK5N5Y8WHHJYRXVXNM7EN2766,b3aa53f431d1b1486d2bd8f64db5c65dc9419c5012693ced8c2433e3dd80b4ec
ciqual,11060,nfx_7AMDX7XYX7G6KBYZGYRF3XBVZR,e655ef6afe9d8b76d5a152588a6e13d8d102a3e44f15e712933f7423c43d197c
ciqual,11061,nfx_47WQZZNVGTCCQ6BW5T21Y6J1JN,acf936c6086b3b6dd3b0a5d60c83e212f1d2156892208e053136ff845231adaa
ciqual,11062,nfx_0T0FJKJQHE11C3GHR5S762NECY,8b1493e049f8f5cd561975a1e595e505f2f59c51d629f124f7252728b156b4a8
