# Fatores de retencao (SPEC §10, ADR-0007/0018). Fonte: USDA Table of
# Nutrient Retention Factors Release 6 (2007), CC0 1.0,
# DOI 10.15482/USDA.ADC/1409034. Fonte primaria: retn06.txt (ASCII caret-delimited),
# SHA-256 5B71867F6649E801DB3BF88C6CD1887B0673E853D4BA94AA0AF2B3C091E983F9.
# Gerado por scripts/build_retention_factors.py — nao editar a mao.
# Politica: mediana por (nutriente, metodo); espaco min-max na evidencia;
# referencia integral em usda_r6_reference.csv.
nutrient,cooking_method,retention_factor,evidence
K,stewed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 2 rows; min 90% max 90%
LYCPN,baked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 23 rows; min 75% max 100%
LYCPN,boiled,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 85% max 100%
LYCPN,braised,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 5 rows; min 75% max 90%
LYCPN,broiled,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 20 rows; min 65% max 100%
LYCPN,canned,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 75% max 100%
LYCPN,cooked,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 75% max 100%
LYCPN,fried,0.85,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 36 rows; min 75% max 100%
LYCPN,poached,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 1 rows; min 100% max 100%
LYCPN,reheated,1.0,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 28 rows; min 95% max 100%
LYCPN,roasted,0.75,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 8 rows; min 75% max 80%
LYCPN,simmered,0.8,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 60 rows; min 75% max 100%
LYCPN,steamed,0.9,USDA R6 DOI:10.15482/USDA.ADC/1409034; median of 4 rows; min 90% max 95%
